Pn	Ps	Dn	Ds	skipped_codons	NI	alpha	pvalue	file
7	4	329	143	94	0.7606382978723404	0.23936170212765961	0.7422667083074755	11582at7088.fasta
0	2	34	175	54	0.0	1.0		8732at7088.fasta
0	0	127	183	16				5570at7088.fasta
2	7	262	249	54	0.27153762268266085	0.7284623773173391	0.10159112383642767	3666at7088.fasta
1	0	133	104	194				11416at7088.fasta
0	0	86	64	6				14028at7088.fasta
0	2	112	205	6	0.0	1.0		5046at7088.fasta
0	1	201	122	158	0.0	1.0		7972at7088.fasta
0	11	195	169	355	0.0	1.0		4434at7088.fasta
2	5	73	154	31	0.8438356164383563	0.15616438356164375	1.0	6938at7088.fasta
0	0	43	212	3				4190at7088.fasta
0	0	97	165	349				4238at7088.fasta
4	20	318	545	69	0.34276729559748426	0.6572327044025157	0.05161663015196885	609at7088.fasta
3	1	1357	587	433	1.2977155490051584	-0.2977155490051584	1.0	316at7088.fasta
1	1	215	200	716	0.9302325581395349	0.06976744186046513	1.0	2097at7088.fasta
0	1	29	44	14	0.0	1.0		15247at7088.fasta
28	6	146	139	197	4.442922374429225	-3.4429223744292248	0.0004645156464245458	5639at7088.fasta
1	10	307	537	159	0.1749185667752443	0.8250814332247557	0.10894039579544557	866at7088.fasta
0	1	88	76	29	0.0	1.0		11342at7088.fasta
0	0	82	83	5				9780at7088.fasta
2	0	90	114	8				8860at7088.fasta
0	0	36	35	13				15107at7088.fasta
6	2	49	95	13	5.816326530612244	-4.816326530612244	0.02660148832353662	11403at7088.fasta
0	0	139	344	36				1927at7088.fasta
0	0	59	78	5				12354at7088.fasta
0	0	277	360	185				1441at7088.fasta
2	6	175	258	12	0.49142857142857144	0.5085714285714286	0.4842846592026524	2295at7088.fasta
4	15	146	233	43	0.42557077625570777	0.5744292237442923	0.1500335726783178	3966at7088.fasta
0	0	24	121	203				9866at7088.fasta
3	3	299	337	36	1.1270903010033444	-0.1270903010033444	1.0	2138at7088.fasta
1	0	29	231	339				1114at7088.fasta
2	9	224	298	109	0.2956349206349206	0.7043650793650794	0.12846586069129445	2124at7088.fasta
1	1	57	104	6	1.8245614035087718	-0.8245614035087718	1.0	10940at7088.fasta
2	5	173	85	26	0.19653179190751446	0.8034682080924855	0.04672911173289869	9301at7088.fasta
11	12	467	280	44	0.5496074232690935	0.4503925767309065	0.19027114379347274	1845at7088.fasta
0	0	135	123	13				5713at7088.fasta
4	19	96	278	73	0.6096491228070174	0.39035087719298256	0.4651265878308225	2194at7088.fasta
4	3	137	181	5	1.7615571776155718	-0.7615571776155718	0.472529030199501	5693at7088.fasta
0	0	185	183	207				2182at7088.fasta
0	5	97	132	102	0.0	1.0		8578at7088.fasta
4	21	241	580	77	0.4584074293617862	0.5415925706382139	0.18195957478758837	401at7088.fasta
0	1	117	108	36	0.0	1.0		6703at7088.fasta
2	0	63	107	8				10582at7088.fasta
0	0	114	257	4				3122at7088.fasta
1	1	85	87	27	1.0235294117647058	-0.0235294117647058	1.0	11237at7088.fasta
0	7	35	310	20	0.0	1.0		3065at7088.fasta
0	0	60	41	147				13255at7088.fasta
1	0	224	106	112				8385at7088.fasta
11	8	165	286	9	2.3833333333333337	-1.3833333333333337	0.08776468202950267	2995at7088.fasta
0	1	216	202	50	0.0	1.0		3749at7088.fasta
0	1	23	99	12	0.0	1.0		12173at7088.fasta
1	2	275	223	68	0.40545454545454546	0.5945454545454545	0.5901383605534423	2802at7088.fasta
0	0	87	134	2				8050at7088.fasta
0	2	62	109	31	0.0	1.0		9144at7088.fasta
0	1	33	132	340	0.0	1.0		3254at7088.fasta
1	8	166	146	71	0.10993975903614457	0.8900602409638554	0.015929266290007505	4013at7088.fasta
3	0	537	294	790				3137at7088.fasta
0	3	52	122	2	0.0	1.0		9188at7088.fasta
0	0	233	132	152				4956at7088.fasta
7	5	81	211	30	3.6469135802469133	-2.6469135802469133	0.044300815041211215	4500at7088.fasta
1	0	797	238	356				3551at7088.fasta
0	0	122	186	108				6602at7088.fasta
0	0	66	107	28				11225at7088.fasta
1	14	140	311	35	0.1586734693877551	0.8413265306122449	0.046402405401496524	2136at7088.fasta
0	0	156	272	9				3925at7088.fasta
1	8	245	183	64	0.09336734693877552	0.9066326530612245	0.012159209058855217	5541at7088.fasta
0	1	67	317	15	0.0	1.0		3326at7088.fasta
0	4	332	394	464	0.0	1.0		849at7088.fasta
4	6	232	174	130	0.5	0.5	0.3405843540927872	4923at7088.fasta
6	6	558	541	233	0.9695340501792115	0.03046594982078854	1.0	445at7088.fasta
0	4	59	212	56	0.0	1.0		4685at7088.fasta
0	0	104	201	209				4400at7088.fasta
0	1	57	337	45	0.0	1.0		993at7088.fasta
1	9	383	251	52	0.0728169422686394	0.9271830577313606	0.0016882185313681043	1568at7088.fasta
2	4	1107	659	558	0.2976513098464318	0.7023486901535683	0.20481095089578288	251at7088.fasta
0	0	10	81	28				11397at7088.fasta
0	0	68	187	89				5078at7088.fasta
0	0	61	103	9				8180at7088.fasta
0	0	304	218	191				5464at7088.fasta
0	0	144	90	90				5199at7088.fasta
0	0	77	110	42				12861at7088.fasta
1	5	60	250	1	0.8333333333333334	0.16666666666666663	1.0	3821at7088.fasta
0	0	282	285	213				2248at7088.fasta
7	14	147	161	38	0.5476190476190477	0.45238095238095233	0.2597999699359296	10225at7088.fasta
2	8	282	319	59	0.28280141843971635	0.7171985815602837	0.11521369802762296	2174at7088.fasta
0	0	88	185	26				7298at7088.fasta
2	22	226	575	35	0.23129525341914725	0.7687047465808527	0.03524888029705808	589at7088.fasta
0	0	55	88	43				9432at7088.fasta
92	77	1068	918	1818	1.0269954764336786	-0.02699547643367861	0.9359732506410328	59at7088.fasta
0	0	95	219	2				3864at7088.fasta
0	7	106	460	67	0.0	1.0		1220at7088.fasta
0	2	84	162	38	0.0	1.0		7475at7088.fasta
0	0	117	61	235				11184at7088.fasta
0	0	134	65	20				12017at7088.fasta
0	0	46	107	2				11817at7088.fasta
1	14	282	596	58	0.1509625126646403	0.8490374873353597	0.0464443980002643	929at7088.fasta
20	8	309	307	106	2.483818770226537	-1.483818770226537	0.03297004953038652	3381at7088.fasta
0	0	261	111	77				5952at7088.fasta
0	1	128	189	39	0.0	1.0		4483at7088.fasta
0	11	227	347	41	0.0	1.0		1543at7088.fasta
2	6	295	319	39	0.3604519774011299	0.6395480225988701	0.2899009264991837	1922at7088.fasta
0	17	87	422	5	0.0	1.0		1178at7088.fasta
9	15	530	395	116	0.4471698113207547	0.5528301886792453	0.06135705046570558	1182at7088.fasta
4	6	203	85	16	0.2791461412151067	0.7208538587848933	0.07288188387026043	11681at7088.fasta
1	14	327	260	157	0.05679335954565312	0.9432066404543469	0.00021520459030513426	2211at7088.fasta
0	0	24	71	9				13986at7088.fasta
0	0	33	115	322				7731at7088.fasta
6	0	62	29	70				12184at7088.fasta
0	0	134	193	73				4710at7088.fasta
1	7	89	103	183	0.1653290529695024	0.8346709470304976	0.07573702530455373	8763at7088.fasta
1	2	100	178	0	0.8899999999999999	0.1100000000000001	1.0	5625at7088.fasta
0	2	64	116	1	0.0	1.0		8789at7088.fasta
20	17	170	249	362	1.7231833910034602	-0.7231833910034602	0.11999106690947159	1670at7088.fasta
2	4	568	329	248	0.289612676056338	0.710387323943662	0.2007523390161534	1113at7088.fasta
17	6	739	410	1044	1.5719440685611186	-0.5719440685611186	0.38747018963203	303at7088.fasta
0	0	180	131	16				5056at7088.fasta
1	0	70	92	167				9319at7088.fasta
3	13	375	374	437	0.23015384615384615	0.7698461538461538	0.0201137298556298	1514at7088.fasta
4	1	31	33	217	4.258064516129032	-3.258064516129032	0.3564784771793208	9874at7088.fasta
8	9	300	240	164	0.711111111111111	0.288888888888889	0.6216957449619577	2028at7088.fasta
3	12	254	225	86	0.22145669291338585	0.7785433070866141	0.016005952174945135	4108at7088.fasta
1	0	691	214	233				1078at7088.fasta
0	0	265	138	106				8365at7088.fasta
0	0	79	275	112				3253at7088.fasta
0	6	92	120	432	0.0	1.0		5333at7088.fasta
18	5	569	221	3387	1.3982425307557118	-0.3982425307557118	0.6401483925614496	28at7088.fasta
0	0	54	95	15				13961at7088.fasta
1	30	310	846	315	0.09096774193548388	0.9090322580645162	0.0014333490368457062	158at7088.fasta
4	4	74	80	34	1.081081081081081	-0.08108108108108092	1.0	10626at7088.fasta
0	0	188	124	243				10812at7088.fasta
0	0	141	98	96				5919at7088.fasta
3	13	156	277	67	0.4097633136094675	0.5902366863905325	0.19050141602920856	3276at7088.fasta
0	1	65	79	74	0.0	1.0		8487at7088.fasta
0	0	94	147	176				6013at7088.fasta
0	6	85	234	175	0.0	1.0		3273at7088.fasta
0	4	24	243	76	0.0	1.0		4223at7088.fasta
0	2	171	255	159	0.0	1.0		3094at7088.fasta
0	3	44	207	11	0.0	1.0		6226at7088.fasta
24	28	348	290	193	0.7142857142857143	0.2857142857142857	0.25087121275673546	4402at7088.fasta
1	3	61	105	113	0.5737704918032787	0.42622950819672134	1.0	10013at7088.fasta
2	6	141	146	12	0.34515366430260047	0.6548463356973995	0.2841774921288808	6783at7088.fasta
3	3	86	144	24	1.6744186046511629	-0.6744186046511629	0.6751274522981773	8183at7088.fasta
7	6	164	221	122	1.5721544715447155	-0.5721544715447155	0.5706059226770223	3443at7088.fasta
0	0	89	112	5				7642at7088.fasta
14	16	356	589	526	1.4476825842696628	-0.4476825842696628	0.3424157615613802	392at7088.fasta
0	0	57	125	4				8324at7088.fasta
6	11	135	232	98	0.9373737373737373	0.0626262626262627	1.0	4605at7088.fasta
0	0	86	128	205				5301at7088.fasta
2	2	384	266	106	0.6927083333333334	0.30729166666666663	1.0	2738at7088.fasta
4	8	252	517	49	1.0257936507936507	-0.025793650793650702	1.0	1154at7088.fasta
0	0	50	289	26				2279at7088.fasta
3	3	462	125	82	0.27056277056277056	0.7294372294372294	0.11825597809769435	4689at7088.fasta
0	0	50	74	19				11546at7088.fasta
12	32	248	347	643	0.5246975806451613	0.47530241935483875	0.07926780157549043	845at7088.fasta
0	0	93	373	1				1281at7088.fasta
0	0	38	54	19				13447at7088.fasta
0	1	140	92	24	0.0	1.0		9911at7088.fasta
0	0	16	54	19				14070at7088.fasta
1	2	53	56	37	0.5283018867924528	0.4716981132075472	1.0	14032at7088.fasta
0	1	96	58	30	0.0	1.0		12154at7088.fasta
0	1	53	80	0	0.0	1.0		11350at7088.fasta
1	9	220	339	80	0.17121212121212118	0.8287878787878789	0.09750073103349599	1644at7088.fasta
4	7	247	175	108	0.4048582995951417	0.5951417004048583	0.21464589693307962	2236at7088.fasta
8	20	440	428	569	0.38909090909090915	0.6109090909090908	0.03288636891523397	492at7088.fasta
5	7	180	143	16	0.5674603174603174	0.43253968253968256	0.3851512713982205	6116at7088.fasta
1	2	137	68	4	0.24817518248175183	0.7518248175182481	0.26247821757530493	11930at7088.fasta
0	0	28	114	2				9216at7088.fasta
3	0	78	66	12				12274at7088.fasta
0	1	34	87	49	0.0	1.0		13761at7088.fasta
4	1	7	64	136	36.57142857142857	-35.57142857142857	0.0011860454542502127	11479at7088.fasta
1	6	421	660	506	0.26128266033254155	0.7387173396674585	0.2584898949790919	978at7088.fasta
1	7	152	239	18	0.22462406015037592	0.775375939849624	0.16103592026635413	3673at7088.fasta
4	1	166	59	88	1.4216867469879517	-0.4216867469879517	1.0	11018at7088.fasta
0	0	186	300	42				1810at7088.fasta
0	0	45	95	108				10512at7088.fasta
0	1	36	100	7	0.0	1.0		11462at7088.fasta
1	18	233	282	104	0.06723891273247495	0.932761087267525	0.0002621222089198825	2455at7088.fasta
5	4	55	165	5	3.75	-2.75	0.05518157978163989	8051at7088.fasta
1	1	113	130	53	1.1504424778761062	-0.1504424778761062	1.0	6294at7088.fasta
1	0	196	140	59				5676at7088.fasta
1	1	133	103	31	0.7744360902255638	0.2255639097744362	1.0	9680at7088.fasta
0	0	132	133	8				5299at7088.fasta
2	7	106	174	24	0.4690026954177897	0.5309973045822103	0.4915566421785703	6295at7088.fasta
2	2	109	119	74	1.0917431192660552	-0.09174311926605516	1.0	15186at7088.fasta
5	2	87	96	16	2.7586206896551726	-1.7586206896551726	0.26675371203952136	10699at7088.fasta
1	2	105	301	643	1.4333333333333333	-0.43333333333333335	1.0	1449at7088.fasta
6	2	341	658	9	5.788856304985337	-4.788856304985337	0.022910282716415892	380at7088.fasta
0	2	41	136	404	0.0	1.0		5201at7088.fasta
4	5	91	117	5	1.0285714285714287	-0.028571428571428692	1.0	8132at7088.fasta
0	0	45	69	73				8735at7088.fasta
0	0	125	563	34				499at7088.fasta
0	0	120	211	27				2966at7088.fasta
0	6	263	345	20	0.0	1.0		1729at7088.fasta
1	14	187	268	380	0.10236822001527884	0.8976317799847211	0.006303374796306017	2130at7088.fasta
0	0	33	38	4				14540at7088.fasta
0	2	46	58	3	0.0	1.0		13991at7088.fasta
7	1	416	358	222	6.024038461538461	-5.024038461538461	0.07624660458199922	865at7088.fasta
1	1	87	132	39	1.517241379310345	-0.517241379310345	1.0	12090at7088.fasta
0	0	147	78	194				7567at7088.fasta
1	0	124	98	119				8270at7088.fasta
0	0	44	87	28				9630at7088.fasta
0	1	115	101	412	0.0	1.0		9548at7088.fasta
0	0	333	138	130				3045at7088.fasta
1	2	119	57	14	0.23949579831932774	0.7605042016806722	0.25302868620927754	11378at7088.fasta
0	7	75	151	187	0.0	1.0		4849at7088.fasta
1	12	174	709	71	0.33955938697318006	0.6604406130268199	0.4816553010412148	583at7088.fasta
0	0	124	403	7				1200at7088.fasta
2	10	49	157	7	0.6408163265306123	0.35918367346938773	0.7365261595288856	7932at7088.fasta
7	16	216	114	66	0.2309027777777778	0.7690972222222222	0.0012890152806686616	6178at7088.fasta
3	7	124	120	47	0.41474654377880177	0.5852534562211982	0.3338664057596933	6573at7088.fasta
3	8	100	162	7	0.6075	0.39249999999999996	0.542969780180942	5690at7088.fasta
2	2	100	211	236	2.11	-1.1099999999999999	0.5975434969106241	3912at7088.fasta
0	2	19	44	57	0.0	1.0		14011at7088.fasta
3	7	71	131	3	0.7907444668008048	0.2092555331991952	1.0	9519at7088.fasta
1	1	100	111	9	1.1099999999999999	-0.10999999999999988	1.0	9515at7088.fasta
21	51	3897	5514	4956	0.5826201150206041	0.41737988497939593	0.04062905190947086	2at7088.fasta
2	2	191	178	34	0.9319371727748691	0.0680628272251309	1.0	6247at7088.fasta
0	1	140	194	45	0.0	1.0		3998at7088.fasta
3	6	155	108	173	0.34838709677419355	0.6516129032258065	0.17179494216525903	5293at7088.fasta
1	0	71	125	2				8259at7088.fasta
1	1	129	342	37	2.6511627906976742	-1.6511627906976742	0.4745673128605726	2603at7088.fasta
2	3	486	366	47	0.5020576131687243	0.4979423868312757	0.6567333322618574	614at7088.fasta
0	2	40	75	22	0.0	1.0		12895at7088.fasta
5	10	155	231	273	0.7451612903225806	0.2548387096774194	0.789435215077714	3287at7088.fasta
3	12	266	619	203	0.581766917293233	0.41823308270676696	0.5719361200899653	353at7088.fasta
0	0	2	60	2				14247at7088.fasta
2	8	93	157	25	0.4220430107526882	0.5779569892473118	0.33440951918569695	8171at7088.fasta
11	6	178	103	117	1.0608614232209739	-0.060861423220973876	1.0	7435at7088.fasta
1	1	169	102	83	0.6035502958579881	0.39644970414201186	1.0	5776at7088.fasta
0	5	239	203	204	0.0	1.0		3508at7088.fasta
0	0	91	70	1				10243at7088.fasta
6	5	118	134	24	1.3627118644067797	-0.3627118644067797	0.7604317413090822	11390at7088.fasta
10	9	305	339	1137	1.2349726775956285	-0.23497267759562845	0.8164708293224258	122at7088.fasta
0	1	204	110	337	0.0	1.0		2335at7088.fasta
2	5	610	286	212	0.18754098360655738	0.8124590163934426	0.038604303638651735	2032at7088.fasta
1	0	37	46	3				14514at7088.fasta
1	5	64	146	54	0.45625000000000004	0.54375	0.6708477139283504	8738at7088.fasta
3	5	120	111	24	0.5549999999999999	0.44500000000000006	0.4893678300347299	8103at7088.fasta
2	2	50	35	9	0.7	0.30000000000000004	1.0	14332at7088.fasta
0	0	11	66	11				14949at7088.fasta
6	12	159	125	32	0.3930817610062893	0.6069182389937107	0.08595194290166397	8703at7088.fasta
1	1	86	147	20	1.7093023255813955	-0.7093023255813955	1.0	7790at7088.fasta
0	0	85	93	11				9088at7088.fasta
1	6	508	381	289	0.125	0.875	0.04689409744167829	1547at7088.fasta
16	46	795	758	194	0.33163795460760187	0.6683620453923982	8.158638093276773e-05	159at7088.fasta
0	1	36	93	2	0.0	1.0		10936at7088.fasta
1	1	354	382	48	1.07909604519774	-0.07909604519774005	1.0	924at7088.fasta
3	2	423	240	22	0.851063829787234	0.14893617021276595	1.0	1911at7088.fasta
2	1	122	281	318	4.606557377049181	-3.606557377049181	0.222248957243836	1469at7088.fasta
2	1	125	104	16	1.6640000000000001	-0.6640000000000001	1.0	9240at7088.fasta
0	3	148	153	91	0.0	1.0		6627at7088.fasta
0	0	146	55	223				10149at7088.fasta
1	3	275	512	26	0.6206060606060606	0.3793939393939394	1.0	1222at7088.fasta
0	0	123	123	17				6284at7088.fasta
29	10	408	307	459	2.182107843137255	-1.182107843137255	0.04437180564372062	2928at7088.fasta
0	0	206	322	12				2304at7088.fasta
26	15	1009	599	1864	1.0290056161215726	-0.029005616121572597	1.0	49at7088.fasta
8	17	330	450	190	0.6417112299465241	0.3582887700534759	0.41085766708733595	2183at7088.fasta
0	0	101	43	57				12938at7088.fasta
2	7	72	108	9	0.42857142857142855	0.5714285714285714	0.4863330879375577	7980at7088.fasta
5	26	733	888	75	0.23297302969881417	0.7670269703011858	0.001477136257710854	116at7088.fasta
1	1	97	100	32	1.0309278350515465	-0.030927835051546504	1.0	8633at7088.fasta
0	0	65	95	20				9891at7088.fasta
5	2	186	406	164	5.456989247311828	-4.456989247311828	0.03658448228504095	1577at7088.fasta
0	1	66	210	22	0.0	1.0		4936at7088.fasta
2	15	278	475	354	0.2278177458033573	0.7721822541966427	0.03962888950166386	553at7088.fasta
0	2	73	130	108	0.0	1.0		6950at7088.fasta
2	12	103	128	88	0.2071197411003236	0.7928802588996764	0.027760578366750187	5213at7088.fasta
1	3	149	159	69	0.35570469798657717	0.6442953020134228	0.6236997454315683	4185at7088.fasta
0	2	141	150	13	0.0	1.0		7246at7088.fasta
3	4	100	160	19	1.2	-0.19999999999999996	1.0	8403at7088.fasta
0	0	46	71	3				12603at7088.fasta
0	1	206	240	327	0.0	1.0		3473at7088.fasta
0	2	164	122	32	0.0	1.0		7675at7088.fasta
2	3	43	223	162	3.4573643410852712	-2.4573643410852712	0.1938423652502979	3307at7088.fasta
0	0	56	180	17				6267at7088.fasta
1	2	91	226	94	1.2417582417582418	-0.2417582417582418	1.0	4008at7088.fasta
1	0	46	216	11				3023at7088.fasta
2	8	409	284	81	0.17359413202933985	0.8264058679706602	0.019780840718153496	1959at7088.fasta
0	0	86	88	13				10208at7088.fasta
0	0	43	61	3				14709at7088.fasta
0	1	122	59	23	0.0	1.0		9336at7088.fasta
0	0	61	180	12				6501at7088.fasta
0	1	56	168	17	0.0	1.0		8071at7088.fasta
0	0	26	77	8				11483at7088.fasta
5	7	126	154	68	0.873015873015873	0.12698412698412698	1.0	3345at7088.fasta
1	3	103	200	31	0.6472491909385113	0.3527508090614887	1.0	5260at7088.fasta
0	2	106	228	145	0.0	1.0		5341at7088.fasta
0	1	114	88	95	0.0	1.0		9470at7088.fasta
0	0	130	150	9				5795at7088.fasta
1	0	89	71	30				13220at7088.fasta
0	0	60	133	15				8572at7088.fasta
0	0	17	61	30				14147at7088.fasta
0	0	76	135	61				8914at7088.fasta
1	2	41	106	0	1.292682926829268	-0.2926829268292681	1.0	10792at7088.fasta
1	10	99	153	58	0.15454545454545454	0.8454545454545455	0.05611089656210791	5369at7088.fasta
1	3	196	319	40	0.5425170068027211	0.4574829931972789	1.0	2740at7088.fasta
0	0	225	127	202				7614at7088.fasta
0	0	90	187	57				7473at7088.fasta
0	1	238	500	141	0.0	1.0		962at7088.fasta
0	0	41	93	77				9025at7088.fasta
0	13	261	185	757	0.0	1.0		599at7088.fasta
23	14	204	372	108	2.995798319327731	-1.995798319327731	0.0014723633399605423	1459at7088.fasta
0	0	116	50	27				11666at7088.fasta
0	0	39	98	19				12471at7088.fasta
1	1	77	53	41	0.6883116883116883	0.3116883116883117	1.0	11922at7088.fasta
0	0	29	31	76				15738at7088.fasta
2	1	130	174	701	2.676923076923077	-1.6769230769230772	0.5791543509057386	6083at7088.fasta
0	16	190	451	89	0.0	1.0		1124at7088.fasta
0	1	62	66	4	0.0	1.0		11054at7088.fasta
0	0	158	423	53				998at7088.fasta
0	0	79	47	6				13670at7088.fasta
0	1	164	591	142	0.0	1.0		302at7088.fasta
0	0	87	47	3				13059at7088.fasta
174	111	90	147	177	2.5603603603603604	-1.5603603603603604	1.9087852467808748e-07	4860at7088.fasta
0	1	141	94	17	0.0	1.0		9243at7088.fasta
1	13	40	211	2	0.4057692307692308	0.5942307692307691	0.7028718716845133	5193at7088.fasta
0	2	76	140	50	0.0	1.0		9943at7088.fasta
0	1	40	66	4	0.0	1.0		14465at7088.fasta
7	31	203	567	530	0.6307007786429366	0.3692992213570634	0.34512644040965235	246at7088.fasta
0	0	34	25	42				15118at7088.fasta
0	9	164	318	23	0.0	1.0		1665at7088.fasta
1	8	25	129	2	0.645	0.355	1.0	8908at7088.fasta
4	1	190	131	171	2.7578947368421054	-1.7578947368421054	0.6518221579874346	6959at7088.fasta
1	0	34	135	46				9276at7088.fasta
0	0	201	240	15				3284at7088.fasta
0	0	160	193	253				3460at7088.fasta
1	6	132	163	14	0.2058080808080808	0.7941919191919192	0.13935231734250414	5806at7088.fasta
0	0	24	83	137				10939at7088.fasta
0	0	83	96	21				8467at7088.fasta
0	2	128	179	27	0.0	1.0		5694at7088.fasta
0	0	145	151	14				7206at7088.fasta
0	0	121	160	127				7768at7088.fasta
0	0	46	56	10				13651at7088.fasta
0	0	42	81	17				11349at7088.fasta
3	5	409	349	37	0.5119804400977994	0.4880195599022006	0.4816692570416098	1000at7088.fasta
71	15	1296	430	1817	1.5704732510288066	-0.5704732510288066	0.12472563964442188	986at7088.fasta
0	0	64	65	41				13568at7088.fasta
1	1	76	202	47	2.6578947368421053	-1.6578947368421053	0.47508960573476705	6249at7088.fasta
0	0	57	38	16				13952at7088.fasta
2	2	85	497	2	5.847058823529411	-4.847058823529411	0.10691285181884741	1021at7088.fasta
0	0	23	77	107				11292at7088.fasta
1	3	89	170	228	0.6367041198501872	0.36329588014981284	1.0	7301at7088.fasta
11	32	126	1222	129	3.333829365079365	-2.333829365079365	0.0020522135565576977	66at7088.fasta
0	14	196	132	151	0.0	1.0		4440at7088.fasta
4	7	420	347	277	0.47210884353741495	0.527891156462585	0.2408465835443232	3012at7088.fasta
0	9	143	440	141	0.0	1.0		1479at7088.fasta
1	0	212	123	296				2222at7088.fasta
0	0	103	201	1				4416at7088.fasta
0	0	245	270	336				2177at7088.fasta
1	0	350	371	78				1550at7088.fasta
1	2	41	161	11	1.9634146341463417	-0.9634146341463417	0.49921832484044926	7254at7088.fasta
0	0	57	110	9				10628at7088.fasta
0	0	148	58	295				7045at7088.fasta
0	2	71	173	21	0.0	1.0		10240at7088.fasta
0	2	102	67	19	0.0	1.0		12413at7088.fasta
1	0	133	232	16				4317at7088.fasta
0	0	174	110	42				9543at7088.fasta
0	1	180	270	35	0.0	1.0		2816at7088.fasta
0	0	48	49	121				11178at7088.fasta
0	1	36	111	4	0.0	1.0		11592at7088.fasta
0	0	97	186	30				4782at7088.fasta
1	4	144	117	54	0.203125	0.796875	0.18050249914974392	6366at7088.fasta
1	0	230	178	143				3489at7088.fasta
0	1	88	92	8	0.0	1.0		9693at7088.fasta
0	2	90	331	89	0.0	1.0		1826at7088.fasta
0	0	16	78	6				15205at7088.fasta
0	0	20	84	30				10502at7088.fasta
1	0	186	125	59				5863at7088.fasta
11	15	368	400	265	0.7971014492753622	0.2028985507246378	0.6907884920684202	1819at7088.fasta
0	0	182	246	1				2190at7088.fasta
0	2	151	102	8	0.0	1.0		9056at7088.fasta
1	0	71	127	114				9878at7088.fasta
0	0	144	214	10				5327at7088.fasta
0	1	184	179	54	0.0	1.0		6386at7088.fasta
1	0	150	130	32				6115at7088.fasta
0	2	23	77	1	0.0	1.0		13703at7088.fasta
0	0	66	63	2				11272at7088.fasta
1	0	98	98	5				12217at7088.fasta
0	2	45	128	13	0.0	1.0		9601at7088.fasta
1	0	199	76	88				15055at7088.fasta
3	1	223	234	60	3.1479820627802693	-2.1479820627802693	0.3638333791331264	3207at7088.fasta
