Pn	Ps	Dn	Ds	skipped_codons	NI	alpha	pvalue	file
1	10	171	680	19	0.3976608187134503	0.6023391812865497	0.702819654114657	866at7088.fasta
0	1	35	89	6	0.0	1.0		11342at7088.fasta
0	0	59	80	3				9780at7088.fasta
2	0	45	122	1				8860at7088.fasta
0	0	22	45	3				15107at7088.fasta
6	2	30	104	12	10.4	-9.4	0.003504329233331807	11403at7088.fasta
0	0	98	303	30				1927at7088.fasta
0	0	28	77	10				12354at7088.fasta
0	0	216	409	79				1441at7088.fasta
2	6	115	261	1	0.7565217391304347	0.24347826086956526	1.0	2295at7088.fasta
6	16	104	193	8	0.6959134615384615	0.30408653846153855	0.6426317519167201	3966at7088.fasta
0	1	36	169	60	0.0	1.0		9866at7088.fasta
3	3	151	423	1	2.801324503311258	-1.8013245033112582	0.19374341042307608	2138at7088.fasta
1	0	40	307	14				1114at7088.fasta
3	9	121	349	43	0.9614325068870524	0.038567493112947604	1.0	2124at7088.fasta
1	1	32	90	33	2.8125	-1.8125	0.4630212431156569	10940at7088.fasta
3	5	85	110	6	0.7764705882352941	0.22352941176470587	1.0	9301at7088.fasta
11	12	311	315	12	0.9284565916398713	0.07154340836012874	1.0	1845at7088.fasta
0	0	70	153	3				5713at7088.fasta
4	19	32	272	25	1.7894736842105263	-0.7894736842105263	0.2999256159137449	2194at7088.fasta
4	3	81	156	1	2.567901234567901	-1.567901234567901	0.24164026579055398	5693at7088.fasta
0	0	69	203	149				2182at7088.fasta
0	5	21	152	82	0.0	1.0		8578at7088.fasta
4	21	105	563	74	1.0213151927437643	-0.021315192743764255	1.0	401at7088.fasta
0	1	52	126	31	0.0	1.0		6703at7088.fasta
2	0	50	90	5				10582at7088.fasta
0	0	57	246	0				3122at7088.fasta
1	1	73	80	8	1.095890410958904	-0.09589041095890405	1.0	11237at7088.fasta
0	4	4	181	239	0.0	1.0		3065at7088.fasta
0	0	54	80	28				13255at7088.fasta
1	0	160	125	58				8385at7088.fasta
11	8	77	299	1	5.339285714285714	-4.339285714285714	0.0005967137017304644	2995at7088.fasta
0	1	109	200	12	0.0	1.0		3749at7088.fasta
0	1	17	107	3	0.0	1.0		12173at7088.fasta
1	2	150	253	55	0.8433333333333333	0.15666666666666673	1.0	2802at7088.fasta
0	0	59	121	4				8050at7088.fasta
0	2	31	124	30	0.0	1.0		9144at7088.fasta
0	1	10	102	332	0.0	1.0		3254at7088.fasta
1	8	68	226	9	0.4154411764705882	0.5845588235294118	0.6895901726443945	4013at7088.fasta
5	0	481	468	349				3137at7088.fasta
0	3	37	94	2	0.0	1.0		9188at7088.fasta
0	0	124	139	74				4956at7088.fasta
7	5	46	192	21	5.843478260869564	-4.843478260869564	0.004434501842383055	4500at7088.fasta
1	0	641	255	236				3551at7088.fasta
0	0	60	247	53				6602at7088.fasta
0	0	59	90	6				11225at7088.fasta
1	14	59	334	26	0.40435835351089583	0.5956416464891041	0.7079840456556836	2136at7088.fasta
0	0	66	280	4				3925at7088.fasta
1	9	159	226	9	0.15793151642208245	0.8420684835779175	0.05391519998809119	5541at7088.fasta
0	1	35	249	3	0.0	1.0		3326at7088.fasta
0	6	195	526	135	0.0	1.0		849at7088.fasta
5	5	169	231	52	1.3668639053254439	-0.3668639053254439	0.7492787287781856	4923at7088.fasta
6	6	373	519	37	1.3914209115281502	-0.3914209115281502	0.5712541774007671	445at7088.fasta
0	4	21	210	4	0.0	1.0		4685at7088.fasta
0	0	155	214	37				4400at7088.fasta
0	1	23	315	1	0.0	1.0		993at7088.fasta
1	9	165	296	17	0.1993265993265993	0.8006734006734006	0.10702847780532476	1568at7088.fasta
4	4	919	731	345	0.795429815016322	0.20457018498367796	0.7386393801662215	251at7088.fasta
0	0	3	75	28				11397at7088.fasta
0	0	25	221	6				5078at7088.fasta
0	0	33	112	7				8180at7088.fasta
0	0	165	279	59				5464at7088.fasta
0	0	56	123	24				5199at7088.fasta
0	0	33	131	35				12861at7088.fasta
1	5	14	226	0	3.2285714285714286	-2.2285714285714286	0.3171666225470983	3821at7088.fasta
0	0	181	348	22				2248at7088.fasta
7	16	91	197	0	0.9471153846153846	0.05288461538461542	1.0	10225at7088.fasta
2	8	126	348	6	0.6904761904761905	0.30952380952380953	1.0	2174at7088.fasta
0	0	36	155	12				7298at7088.fasta
3	22	94	579	25	0.8399419729206962	0.16005802707930383	1.0	589at7088.fasta
0	0	35	97	2				9432at7088.fasta
83	64	726	966	1681	1.725594008264463	-0.725594008264463	0.0017603279028387472	59at7088.fasta
0	0	44	172	10				3864at7088.fasta
0	7	50	444	10	0.0	1.0		1220at7088.fasta
0	2	39	159	10	0.0	1.0		7475at7088.fasta
0	0	68	91	189				11184at7088.fasta
0	0	109	62	12				12017at7088.fasta
0	0	20	111	9				11817at7088.fasta
3	15	120	670	27	1.1166666666666667	-0.1166666666666667	0.7460334700593039	929at7088.fasta
18	7	258	288	103	2.870431893687708	-1.8704318936877078	0.02266687812717663	3381at7088.fasta
0	0	181	140	19				5952at7088.fasta
0	1	79	214	24	0.0	1.0		4483at7088.fasta
0	12	107	378	54	0.0	1.0		1543at7088.fasta
2	6	144	352	23	0.8148148148148148	0.18518518518518523	1.0	1922at7088.fasta
0	15	30	379	58	0.0	1.0		1178at7088.fasta
9	15	360	412	41	0.6866666666666666	0.31333333333333335	0.41275451514310313	1182at7088.fasta
4	6	142	86	13	0.4037558685446009	0.5962441314553991	0.1910731128053713	11681at7088.fasta
1	15	122	311	42	0.1699453551912568	0.8300546448087431	0.08198430164618177	2211at7088.fasta
0	0	6	63	1				13986at7088.fasta
0	0	27	103	313				7731at7088.fasta
6	0	28	39	72				12184at7088.fasta
2	0	70	191	21				4710at7088.fasta
1	11	102	164	49	0.14616755793226383	0.8538324420677361	0.03602618682263408	8763at7088.fasta
1	2	32	174	0	2.71875	-1.71875	0.40444757378395824	5625at7088.fasta
0	2	32	108	0	0.0	1.0		8789at7088.fasta
20	17	107	263	65	2.891698735568994	-1.891698735568994	0.00263508835179764	1670at7088.fasta
2	4	416	388	49	0.46634615384615385	0.5336538461538461	0.4377596585550642	1113at7088.fasta
26	15	568	549	720	1.6753521126760564	-0.6753521126760564	0.15147728709493866	303at7088.fasta
0	0	118	129	11				5056at7088.fasta
0	0	121	131	37				9319at7088.fasta
3	16	216	473	263	0.4105902777777778	0.5894097222222222	0.20848280351790816	1514at7088.fasta
4	1	34	45	164	5.294117647058823	-4.294117647058823	0.17064599862866098	9874at7088.fasta
9	10	219	248	75	1.0191780821917809	-0.019178082191780854	1.0	2028at7088.fasta
3	10	164	284	27	0.5195121951219512	0.48048780487804876	0.3921872761825391	4108at7088.fasta
1	0	402	342	7				1078at7088.fasta
0	0	208	155	33				8365at7088.fasta
0	0	53	233	2				3253at7088.fasta
12	12	60	194	293	3.2333333333333334	-2.2333333333333334	0.012422060099206121	5333at7088.fasta
28	7	524	358	3314	2.7328244274809164	-1.7328244274809164	0.013858652976856612	28at7088.fasta
0	0	11	104	7				13961at7088.fasta
1	36	149	776	331	0.14466815809097686	0.8553318419090231	0.020679094081614936	158at7088.fasta
4	4	17	104	5	6.117647058823529	-5.117647058823529	0.023982529127151563	10626at7088.fasta
0	0	165	127	38				10812at7088.fasta
0	0	64	158	16				5919at7088.fasta
3	13	101	302	25	0.6900228484386901	0.3099771515613099	0.7703926649334909	3276at7088.fasta
0	1	40	123	10	0.0	1.0		8487at7088.fasta
0	0	52	135	16				6013at7088.fasta
0	6	44	209	32	0.0	1.0		3273at7088.fasta
0	4	10	244	22	0.0	1.0		4223at7088.fasta
0	2	88	334	5	0.0	1.0		3094at7088.fasta
0	3	15	162	7	0.0	1.0		6226at7088.fasta
23	26	242	300	51	1.0966306420851875	-0.09663064208518746	0.7663773285494349	4402at7088.fasta
2	3	45	117	66	1.7333333333333332	-0.7333333333333332	0.621100542980779	10013at7088.fasta
2	6	66	156	0	0.7878787878787878	0.21212121212121215	1.0	6783at7088.fasta
3	3	40	126	13	3.1500000000000004	-2.1500000000000004	0.165892956242241	8183at7088.fasta
26	9	93	264	64	8.200716845878135	-7.200716845878135	2.3266799870440135e-08	3443at7088.fasta
0	0	30	113	63				7642at7088.fasta
14	16	241	713	88	2.588692946058091	-1.588692946058091	0.01760009725449132	392at7088.fasta
0	0	46	98	1				8324at7088.fasta
6	10	79	215	95	1.6329113924050631	-0.6329113924050631	0.39042607234192656	4605at7088.fasta
1	0	100	188	9				5301at7088.fasta
2	1	251	260	87	2.0717131474103585	-1.0717131474103585	0.6184906499590415	2738at7088.fasta
4	8	173	544	69	1.5722543352601157	-0.5722543352601157	0.49826390637528056	1154at7088.fasta
0	0	26	276	27				2279at7088.fasta
3	4	283	200	38	0.5300353356890459	0.46996466431095407	0.4574487179384902	4689at7088.fasta
0	0	18	69	8				11546at7088.fasta
11	34	113	387	638	1.1080166579906299	-0.10801665799062987	0.8526709454939949	845at7088.fasta
0	0	34	309	0				1281at7088.fasta
0	0	21	53	8				13447at7088.fasta
0	1	77	104	5	0.0	1.0		9911at7088.fasta
0	0	6	38	17				14070at7088.fasta
1	2	55	61	21	0.5545454545454546	0.44545454545454544	1.0	14032at7088.fasta
0	1	42	94	2	0.0	1.0		12154at7088.fasta
0	1	27	83	3	0.0	1.0		11350at7088.fasta
1	9	55	351	32	0.7090909090909091	0.2909090909090909	1.0	1644at7088.fasta
4	9	127	273	38	0.9553805774278215	0.044619422572178546	1.0	2236at7088.fasta
9	20	193	499	25	1.1634715025906737	-0.16347150259067367	0.6779434185547311	492at7088.fasta
5	7	104	138	4	0.9478021978021978	0.052197802197802234	1.0	6116at7088.fasta
1	2	75	61	1	0.4066666666666667	0.5933333333333333	0.5900581978086208	11930at7088.fasta
0	0	19	123	1				9216at7088.fasta
3	0	51	43	8				12274at7088.fasta
1	1	27	92	3	3.407407407407407	-2.407407407407407	0.4107438016528926	13761at7088.fasta
2	9	304	874	136	0.6388888888888888	0.36111111111111116	0.7385419208270574	978at7088.fasta
0	6	61	260	5	0.0	1.0		3673at7088.fasta
4	2	101	104	72	2.0594059405940595	-1.0594059405940595	0.4452370177640494	11018at7088.fasta
0	0	90	311	21				1810at7088.fasta
0	0	23	108	92				10512at7088.fasta
0	1	14	92	1	0.0	1.0		11462at7088.fasta
1	21	166	358	36	0.10269650028686172	0.8973034997131383	0.0041312125479014946	2455at7088.fasta
5	4	42	140	0	4.166666666666667	-3.166666666666667	0.0419250337600753	8051at7088.fasta
1	1	59	147	8	2.4915254237288136	-1.4915254237288136	0.4947045707915273	6294at7088.fasta
1	0	162	158	7				5676at7088.fasta
0	1	64	108	52	0.0	1.0		9680at7088.fasta
0	0	85	139	8				5299at7088.fasta
2	7	85	158	29	0.5310924369747899	0.4689075630252101	0.722770835818191	6295at7088.fasta
2	2	87	133	51	1.528735632183908	-0.5287356321839081	0.6505041072767267	15186at7088.fasta
5	2	37	102	3	6.891891891891892	-5.891891891891892	0.021153608687505626	10699at7088.fasta
1	2	48	319	578	3.3229166666666665	-2.3229166666666665	0.3478165333944762	1449at7088.fasta
6	3	176	650	32	7.386363636363637	-6.386363636363637	0.004630371002170874	380at7088.fasta
1	4	57	230	53	1.0087719298245614	-0.00877192982456143	1.0	5201at7088.fasta
4	5	49	112	9	1.8285714285714287	-0.8285714285714287	0.46253191513129716	8132at7088.fasta
0	0	21	86	71				8735at7088.fasta
0	0	96	461	28				499at7088.fasta
0	0	55	198	21				2966at7088.fasta
0	6	127	362	6	0.0	1.0		1729at7088.fasta
3	14	140	391	123	0.5984693877551021	0.40153061224489794	0.5785297457606894	2130at7088.fasta
0	0	25	41	1				14540at7088.fasta
0	2	25	61	4	0.0	1.0		13991at7088.fasta
0	0	192	440	86				865at7088.fasta
1	1	63	131	20	2.079365079365079	-1.079365079365079	0.5475667189952904	12090at7088.fasta
0	0	62	131	163				7567at7088.fasta
1	0	74	168	21				8270at7088.fasta
0	0	20	102	26				9630at7088.fasta
0	1	67	109	4	0.0	1.0		9548at7088.fasta
0	0	268	205	50				3045at7088.fasta
1	1	61	55	31	0.9016393442622951	0.09836065573770492	1.0	11378at7088.fasta
1	9	70	237	23	0.3761904761904762	0.6238095238095238	0.46699233500712045	4849at7088.fasta
1	13	69	693	72	0.7725752508361204	0.22742474916387956	1.0	583at7088.fasta
0	0	67	367	16				1200at7088.fasta
0	8	20	138	40	0.0	1.0		7932at7088.fasta
6	17	128	130	20	0.3584558823529412	0.6415441176470589	0.047900318493406265	6178at7088.fasta
3	8	71	127	13	0.6707746478873239	0.3292253521126761	0.7499826717175093	6573at7088.fasta
3	8	59	188	0	1.1949152542372883	-0.19491525423728828	0.7286753357232729	5690at7088.fasta
3	2	62	230	199	5.564516129032258	-4.564516129032258	0.07175164322153388	3912at7088.fasta
0	2	8	57	17	0.0	1.0		14011at7088.fasta
3	7	27	116	2	1.8412698412698412	-0.8412698412698412	0.4124765092374909	9519at7088.fasta
1	1	40	109	12	2.7249999999999996	-1.7249999999999996	0.4706401766004415	9515at7088.fasta
24	53	2900	5061	3997	0.790266753415745	0.20973324658425496	0.4048959562004335	2at7088.fasta
1	2	100	170	26	0.85	0.15000000000000002	1.0	6247at7088.fasta
0	2	68	158	75	0.0	1.0		3998at7088.fasta
3	7	155	129	60	0.3566820276497696	0.6433179723502305	0.19589403925771914	5293at7088.fasta
1	0	49	107	17				8259at7088.fasta
1	1	61	319	6	5.229508196721311	-4.229508196721311	0.29862170370065	2603at7088.fasta
2	3	195	453	1	1.5487179487179488	-0.5487179487179488	0.6405266444416899	614at7088.fasta
0	2	33	60	4	0.0	1.0		12895at7088.fasta
2	10	57	254	261	0.8912280701754387	0.1087719298245613	1.0	3287at7088.fasta
3	13	117	678	88	1.337278106508876	-0.3372781065088759	0.7185685610199792	353at7088.fasta
0	0	4	50	8				14247at7088.fasta
2	8	61	121	76	0.4959016393442623	0.5040983606557377	0.5022849548780693	8171at7088.fasta
17	7	123	129	66	2.547038327526132	-1.5470383275261321	0.05325306313351017	7435at7088.fasta
1	1	97	170	13	1.7525773195876289	-0.7525773195876289	1.0	5776at7088.fasta
4	7	217	282	38	0.7425938117182357	0.2574061882817643	0.7637307302879205	3508at7088.fasta
0	0	45	93	3				10243at7088.fasta
6	5	62	118	4	2.2838709677419353	-1.2838709677419353	0.20314023276073104	11390at7088.fasta
10	9	154	477	883	3.4415584415584415	-2.4415584415584415	0.01223040865528272	122at7088.fasta
0	7	134	280	47	0.0	1.0		2335at7088.fasta
3	6	496	340	89	0.342741935483871	0.657258064516129	0.17129983658888692	2032at7088.fasta
1	0	34	49	7				14514at7088.fasta
1	6	33	129	71	0.6515151515151515	0.3484848484848485	1.0	8738at7088.fasta
3	6	72	135	8	0.9375	0.0625	1.0	8103at7088.fasta
2	2	30	42	3	1.4	-0.3999999999999999	1.0	14332at7088.fasta
0	0	2	63	0				14949at7088.fasta
6	12	128	109	6	0.42578125	0.57421875	0.14012509041510968	8703at7088.fasta
1	1	57	126	28	2.2105263157894735	-1.2105263157894735	0.5299059929494713	7790at7088.fasta
0	0	43	107	15				9088at7088.fasta
2	6	341	490	141	0.4789833822091886	0.5210166177908113	0.48270992881635255	1547at7088.fasta
18	48	339	889	136	0.9834070796460177	0.0165929203539823	1.0	159at7088.fasta
0	1	13	91	1	0.0	1.0		10936at7088.fasta
1	1	155	429	12	2.7677419354838713	-1.7677419354838713	0.4618885096700796	924at7088.fasta
3	3	134	359	5	2.67910447761194	-1.67910447761194	0.35309596430596946	1911at7088.fasta
2	1	28	294	311	21.0	-20.0	0.023353884963792086	1469at7088.fasta
2	1	73	92	15	2.5205479452054798	-1.5205479452054798	0.5866485617405465	9240at7088.fasta
0	3	109	134	24	0.0	1.0		6627at7088.fasta
1	0	132	112	75				10149at7088.fasta
1	3	79	471	27	1.9873417721518987	-0.9873417721518987	0.46509480527508557	1222at7088.fasta
0	0	61	152	2				6284at7088.fasta
28	12	366	292	81	1.8615664845173046	-0.8615664845173046	0.09954983963971088	2928at7088.fasta
0	0	120	345	0				2304at7088.fasta
36	26	926	1330	344	1.988702442266157	-0.988702442266157	0.008709145850145233	49at7088.fasta
9	21	254	458	62	0.7727784026996626	0.22722159730033742	0.5661888355310916	2183at7088.fasta
0	0	55	57	55				12938at7088.fasta
2	7	27	118	39	1.2486772486772486	-0.2486772486772486	0.6776032817312041	7980at7088.fasta
5	26	353	917	94	0.49956417520156904	0.500435824798431	0.22024969400838879	116at7088.fasta
1	1	67	96	16	1.4328358208955225	-0.4328358208955225	1.0	8633at7088.fasta
1	1	54	96	9	1.7777777777777777	-0.7777777777777777	1.0	9891at7088.fasta
5	2	66	380	129	14.393939393939393	-13.393939393939393	0.0013536152951335195	1577at7088.fasta
0	1	37	205	6	0.0	1.0		4936at7088.fasta
1	15	158	643	81	0.2713080168776371	0.7286919831223628	0.333751111679996	553at7088.fasta
0	2	58	154	38	0.0	1.0		6950at7088.fasta
8	13	64	183	25	1.7596153846153848	-0.7596153846153848	0.30321150212796255	5213at7088.fasta
1	3	68	191	6	0.9362745098039216	0.06372549019607843	1.0	4185at7088.fasta
0	2	48	188	2	0.0	1.0		7246at7088.fasta
3	4	52	186	13	2.682692307692308	-1.682692307692308	0.18999300674475617	8403at7088.fasta
0	0	17	63	3				12603at7088.fasta
3	5	115	309	78	1.612173913043478	-0.612173913043478	0.4555649161926534	3473at7088.fasta
0	2	113	112	26	0.0	1.0		7675at7088.fasta
2	3	24	208	182	5.777777777777777	-4.777777777777777	0.09418129970750211	3307at7088.fasta
0	0	18	165	1				6267at7088.fasta
2	5	48	177	8	1.475	-0.4750000000000001	0.6455096759244444	4008at7088.fasta
1	0	35	216	3				3023at7088.fasta
4	8	199	363	4	0.9120603015075377	0.0879396984924623	1.0	1959at7088.fasta
0	0	24	112	9				10208at7088.fasta
0	0	34	50	1				14709at7088.fasta
0	1	85	56	27	0.0	1.0		9336at7088.fasta
0	0	28	176	14				6501at7088.fasta
0	1	27	163	19	0.0	1.0		8071at7088.fasta
0	0	6	84	1				11483at7088.fasta
5	7	47	201	35	3.054711246200608	-2.054711246200608	0.06786228443264486	3345at7088.fasta
1	3	48	159	114	1.1041666666666667	-0.10416666666666674	1.0	5260at7088.fasta
1	3	44	262	42	1.9848484848484846	-0.9848484848484846	0.4677721755521216	5341at7088.fasta
0	1	71	154	6	0.0	1.0		9470at7088.fasta
0	0	66	157	7				5795at7088.fasta
2	0	67	75	11				13220at7088.fasta
0	0	26	115	12				8572at7088.fasta
0	0	15	55	28				14147at7088.fasta
0	0	35	147	12				8914at7088.fasta
1	2	13	95	0	3.6538461538461537	-2.6538461538461537	0.335301940806528	10792at7088.fasta
0	10	39	172	8	0.0	1.0		5369at7088.fasta
1	2	90	337	43	1.8722222222222222	-0.8722222222222222	0.5109235146509653	2740at7088.fasta
3	0	277	153	58				7614at7088.fasta
0	0	33	222	7				7473at7088.fasta
0	1	87	497	102	0.0	1.0		962at7088.fasta
0	0	22	81	62				9025at7088.fasta
1	18	172	599	20	0.1934754521963824	0.8065245478036176	0.09245716812172773	599at7088.fasta
23	15	97	394	79	6.228178694158077	-5.228178694158077	1.843213512125239e-07	1459at7088.fasta
0	0	77	60	32				11666at7088.fasta
0	0	28	105	0				12471at7088.fasta
2	1	33	76	2	4.6060606060606055	-3.6060606060606055	0.2297297297297297	11922at7088.fasta
0	1	21	60	9	0.0	1.0		15738at7088.fasta
2	1	67	129	776	3.850746268656716	-2.850746268656716	0.276242000650847	6083at7088.fasta
0	18	68	525	10	0.0	1.0		1124at7088.fasta
0	1	34	59	0	0.0	1.0		11054at7088.fasta
0	0	73	482	43				998at7088.fasta
0	0	58	46	6				13670at7088.fasta
0	1	72	582	106	0.0	1.0		302at7088.fasta
0	0	51	55	6				13059at7088.fasta
215	116	41	182	127	8.227502102607232	-7.227502102607232	3.1051741356773787e-28	4860at7088.fasta
0	1	97	114	11	0.0	1.0		9243at7088.fasta
1	13	13	197	2	1.165680473372781	-0.16568047337278102	0.6061567499142667	5193at7088.fasta
0	2	33	134	66	0.0	1.0		9943at7088.fasta
0	1	16	54	0	0.0	1.0		14465at7088.fasta
27	37	166	615	346	2.7035167697818303	-1.7035167697818303	0.00030713059666658053	246at7088.fasta
0	0	15	62	7				15118at7088.fasta
0	9	81	327	3	0.0	1.0		1665at7088.fasta
1	8	22	130	1	0.7386363636363636	0.26136363636363635	1.0	8908at7088.fasta
3	1	86	116	212	4.046511627906977	-3.046511627906977	0.317592933455646	6959at7088.fasta
1	0	23	126	11				9276at7088.fasta
0	0	83	211	13				3284at7088.fasta
0	0	93	211	259				3460at7088.fasta
3	6	71	143	7	1.0070422535211268	-0.007042253521126751	1.0	5806at7088.fasta
0	0	7	80	135				10939at7088.fasta
0	1	56	109	7	0.0	1.0		8467at7088.fasta
0	2	56	204	7	0.0	1.0		5694at7088.fasta
0	0	80	181	7				7206at7088.fasta
0	0	69	223	15				7768at7088.fasta
0	0	29	61	2				13651at7088.fasta
0	0	11	76	1				11349at7088.fasta
3	5	164	412	29	1.5073170731707317	-0.5073170731707317	0.6947069245649682	1000at7088.fasta
89	19	1345	598	1646	2.0826452748972804	-1.0826452748972804	0.003412669476853288	986at7088.fasta
0	0	44	81	30				13568at7088.fasta
1	1	31	238	13	7.677419354838709	-6.677419354838709	0.22260489271559383	6249at7088.fasta
0	0	42	46	3				13952at7088.fasta
2	3	50	408	6	5.4399999999999995	-4.4399999999999995	0.09917470117617232	1021at7088.fasta
0	0	18	60	68				11292at7088.fasta
1	3	51	161	74	1.0522875816993464	-0.05228758169934644	1.0	7301at7088.fasta
11	32	74	1069	150	4.965793918918919	-3.9657939189189193	0.0001161158074809354	66at7088.fasta
0	14	172	185	18	0.0	1.0		4440at7088.fasta
5	9	334	445	38	0.7401862940785097	0.25981370592149033	0.7865759817476725	3012at7088.fasta
0	8	76	379	108	0.0	1.0		1479at7088.fasta
1	1	153	189	203	1.2352941176470589	-0.23529411764705888	1.0	2222at7088.fasta
0	0	28	179	1				4416at7088.fasta
0	0	173	380	81				2177at7088.fasta
1	0	180	455	27				1550at7088.fasta
1	2	26	121	0	2.3269230769230766	-1.3269230769230766	0.4510774532922183	7254at7088.fasta
0	0	29	96	2				10628at7088.fasta
0	0	64	91	248				7045at7088.fasta
0	2	31	152	24	0.0	1.0		10240at7088.fasta
0	2	60	93	3	0.0	1.0		12413at7088.fasta
1	0	63	206	4				4317at7088.fasta
0	0	146	112	8				9543at7088.fasta
0	1	78	248	10	0.0	1.0		2816at7088.fasta
0	0	23	54	118				11178at7088.fasta
0	1	13	96	0	0.0	1.0		11592at7088.fasta
0	0	32	200	6				4782at7088.fasta
0	4	76	142	46	0.0	1.0		6366at7088.fasta
1	1	164	215	30	1.3109756097560974	-0.3109756097560974	1.0	3489at7088.fasta
0	1	67	72	4	0.0	1.0		9693at7088.fasta
0	2	92	293	29	0.0	1.0		1826at7088.fasta
0	0	8	63	1				15205at7088.fasta
0	0	1	83	29				10502at7088.fasta
1	1	89	176	24	1.9775280898876402	-0.9775280898876402	1.0	5863at7088.fasta
11	15	241	536	27	1.630982019363762	-0.6309820193637621	0.2816459495221687	1819at7088.fasta
0	0	81	273	0				2190at7088.fasta
0	2	100	100	6	0.0	1.0		9056at7088.fasta
1	0	25	160	117				9878at7088.fasta
0	0	79	216	5				5327at7088.fasta
0	1	89	223	64	0.0	1.0		6386at7088.fasta
